horizon_hours,feature,importance
4,R_W_NTU_ROLL_MEAN_12H,0.008684705942869186
4,COS_HOUR,0.008184620179235935
4,R_W_NTU_LAG_12H,0.00811709649860859
4,NTU_LAG_10H,0.00768142519518733
4,R_W_NTU_LAG_6H,0.00748901441693306
4,NTU_LAG_24H,0.007235400378704071
4,R/W CLR,0.007004070095717907
4,R_W_NTU_LAG_4H,0.006658704485744238
4,R_W_FLOW_LAG_6H,0.0064329588785767555
4,R_W_FLOW_LAG_10H,0.005503750406205654
4,R_W_NTU_LAG_18H,0.005314529407769442
4,R_W_FLOW_DIFF_2H,0.005113039165735245
4,ALUM_LAG_24H,0.004964562598615885
4,FILT_NTU_LAG_24H,0.0049437787383794785
4,SIN_HOUR,0.004788161255419254
4,R/W FLOW,0.004225493874400854
4,R_W_FLOW_LAG_2H,0.004201925825327635
4,RTD_TAU_HOURS,0.003718938445672393
4,R_W_NTU_LAG_8H,0.0034080275800079107
4,FILT_NTU_LAG_12H,0.0031912880949676037
4,ALUM_LAG_2H,0.0030956552363932133
4,R_W_FLOW_ROLL_STD_12H,0.0030392806511372328
4,C/W WELL LEVEL,0.0030261692591011524
4,FILT_NTU_LAG_10H,0.002948462264612317
4,ALUM,0.00290455250069499
4,ALUM_LAG_12H,0.002653699368238449
4,ALUM_DIFF_2H,0.002343036700040102
4,ALUM_ROLL_MEAN_12H,0.0015083074104040861
4,COS_MONTH,0.0012249003630131483
4,ALUM_LAG_10H,0.0008396037155762315
4,R/W PH,0.0
4,NTU_WAS_RECURSIVELY_FILLED,0.0
4,ALUM_LAG_4H,0.0
4,ALUM_LAG_18H,0.0
6,NTU_LAG_4H,0.1595834493637085
6,FILT_NTU_LAG_4H,0.039334554225206375
6,SIN_MONTH,0.037282031029462814
6,R/W CLR,0.03356584161520004
6,RTD_ALUM,0.02909732609987259
6,FILT_NTU_LAG_6H,0.028206385672092438
6,RTD_NTU,0.025423448532819748
6,NTU_LAG_6H,0.023495391011238098
6,R_W_FLOW_ROLL_MEAN_12H,0.023424668237566948
6,NTU_DIFF_2H,0.022354036569595337
6,R_W_NTU_LAG_2H,0.022047152742743492
6,NTU_ROLL_STD_12H,0.02085588499903679
6,FILT_NTU_ROLL_STD_12H,0.020606033504009247
6,RTD_FILT_NTU,0.018270637840032578
6,ALUM_LAG_12H,0.01662346161901951
6,R/W NTU,0.016614262014627457
6,R_W_FLOW_LAG_12H,0.01644250564277172
6,RTD_R_W_NTU,0.016249533742666245
6,NTU_LAG_2H,0.016247302293777466
6,ALUM_LAG_24H,0.016002291813492775
6,PHYS_BASE_NTU,0.015927903354167938
6,FILT. NTU,0.01510732714086771
6,R_W_FLOW_LAG_24H,0.014949101023375988
6,COS_HOUR,0.014654493890702724
6,R_W_NTU_ROLL_STD_12H,0.013921239413321018
6,FILT_NTU_LAG_2H,0.013726279139518738
6,R_W_FLOW_LAG_6H,0.013673434033989906
6,FILT_NTU_DIFF_2H,0.013527716509997845
6,R_W_FLOW_LAG_18H,0.01334886159747839
6,FILT_NTU_ROLL_MEAN_12H,0.01279008574783802
6,NTU_LAG_12H,0.012621029280126095
6,R_W_NTU_LAG_24H,0.01251271367073059
6,R_W_NTU_ROLL_MEAN_12H,0.012387612834572792
6,NTU_LAG_24H,0.012082572095096111
6,ALUM_DIFF_2H,0.01075765024870634
6,ALUM_ROLL_MEAN_12H,0.010255957022309303
6,R_W_FLOW_LAG_10H,0.009917298331856728
6,R/W FLOW,0.009031690657138824
6,R_W_NTU_LAG_6H,0.008668842725455761
6,R_W_FLOW_LAG_4H,0.008294069208204746
6,RIVER LEVEL,0.008054427802562714
6,R_W_FLOW_LAG_2H,0.007836726494133472
6,NTU_LAG_8H,0.00780748063698411
6,FILT_NTU_LAG_8H,0.007537756115198135
6,NTU_LAG_18H,0.007201089058071375
6,NTU_LAG_10H,0.007120357360690832
6,R_W_NTU_LAG_10H,0.007022830191999674
6,ALUM_ROLL_STD_12H,0.006894255988299847
6,FILT_NTU_LAG_10H,0.006599695887416601
6,R_W_NTU_LAG_8H,0.006545435171574354
6,RTD_TAU_HOURS,0.006278565153479576
6,FILT_NTU_LAG_18H,0.005820414051413536
6,R_W_FLOW_LAG_8H,0.005757192615419626
6,NTU_ROLL_MEAN_12H,0.005720803048461676
6,ALUM,0.005483648274093866
6,R_W_NTU_LAG_18H,0.005294271744787693
6,R_W_NTU_LAG_12H,0.004863446112722158
6,C/W WELL LEVEL,0.004460296127945185
6,FILT_NTU_LAG_24H,0.00425935722887516
6,ALUM_LAG_4H,0.004173727240413427
6,ALUM_LAG_2H,0.004097641911357641
6,R_W_NTU_DIFF_2H,0.003813347779214382
6,SIN_HOUR,0.0035787567030638456
6,ALUM_LAG_18H,0.0030386745929718018
6,FILT_NTU_LAG_12H,0.002542985137552023
6,R_W_FLOW_DIFF_2H,0.0023058480583131313
6,R_W_NTU_LAG_4H,0.002274471567943692
6,R_W_FLOW_ROLL_STD_12H,0.0018761595711112022
6,COS_MONTH,0.0018582503544166684
6,R/W PH,0.0
6,NTU_WAS_RECURSIVELY_FILLED,0.0
6,ALUM_LAG_6H,0.0
6,ALUM_LAG_8H,0.0
6,ALUM_LAG_10H,0.0
8,ALUM_LAG_2H,0.07237950712442398
8,ALUM_ROLL_STD_12H,0.06688974052667618
8,ALUM_ROLL_MEAN_12H,0.06192721426486969
8,NTU_LAG_4H,0.05348539724946022
8,NTU_LAG_2H,0.05292961746454239
8,SIN_MONTH,0.04378831014037132
8,FILT_NTU_LAG_4H,0.03751146048307419
8,NTU_ROLL_MEAN_12H,0.027012618258595467
8,R_W_FLOW_LAG_18H,0.01890779286623001
8,R/W CLR,0.01886981725692749
8,R_W_NTU_LAG_24H,0.01882452331483364
8,FILT_NTU_LAG_6H,0.017606956884264946
8,R_W_FLOW_LAG_10H,0.01726413331925869
8,R_W_FLOW_LAG_24H,0.017016787081956863
8,RTD_TAU_HOURS,0.016995949670672417
8,FILT_NTU_DIFF_2H,0.016820276156067848
